"Participant","Condition","Trial","Group","PACtype","PACtime","PACstartTime","PACendTime","Event"
"nuP11","solo",1,"e","place",488.7724,638303011525899271,638303011530786995,"Regular Gold CubeClone1was dropped in DropzonePlaceHolderClone3"
"nuP11","solo",1,"e","place",482.1139,638303011548372817,638303011553193956,"Regular Neutral CubeClone68was dropped in DropzonePlaceHolderClone4"
"nuP11","solo",1,"e","place",657.3754,638303011725080108,638303011731653862,"Regular Red CubeClone93was dropped in DropzonePlaceHolderClone1"
"nuP11","solo",1,"e","place",545.8327,638303011767896603,638303011773354930,"Regular Red CubeClone95was dropped in DropzonePlaceHolderClone5"
"nuP11","solo",1,"e","place",643.5998,638303011806338171,638303011812774169,"Regular Neutral CubeClone105was dropped in DropzonePlaceHolderClone3"
"nuP11","solo",1,"e","place",706.0053,638303011838425192,638303011845485245,"Regular Neutral CubeClone109was dropped in DropzonePlaceHolderClone2"
"nuP11","solo",1,"e","place",698.3972,638303011905847730,638303011912831702,"Regular Neutral CubeClone117was dropped in DropzonePlaceHolderClone4"
"nuP11","solo",1,"e","place",421.0704,638303011976136332,638303011980347036,"Regular Blue CubeClone125was dropped in DropzonePlaceHolderClone1"
"nuP11","solo",1,"e","place",720.6477,638303011992354311,638303011999560788,"Regular Blue CubeClone130was dropped in DropzonePlaceHolderClone5"
"nuP11","solo",1,"e","place",418.0071,638303012055455179,638303012059635250,"Regular Blue CubeClone135was dropped in DropzonePlaceHolderClone2"
"nuP11","solo",1,"e","place",755.0637,638303012123846727,638303012131397364,"Regular Blue CubeClone149was dropped in DropzonePlaceHolderClone4"
"nuP11","solo",1,"e","place",641.8405,638303012156855400,638303012163273805,"Regular Red CubeClone148was dropped in DropzonePlaceHolderClone3"
"nuP11","solo",1,"e","place",732.7916,638303012190194981,638303012197522897,"Regular Red CubeClone152was dropped in DropzonePlaceHolderClone5"
"nuP11","solo",1,"e","place",657.4863,638303012238200569,638303012244775432,"Regular Red CubeClone162was dropped in DropzonePlaceHolderClone1"
