"Participant","Condition","Trial","Age","Gender","Group","MovementTime","GrabStart","GrabEnd","Color"
"P14","s","1",22,"m","e",190.0439,637959145276358755,637959145278259194,"red"
"P14","s","1",22,"m","e",402.0916,637959145411449314,637959145415470230,"gold"
"P14","s","1",22,"m","e",534.2011,637959145444581420,637959145449923431,"gold"
"P14","s","1",22,"m","e",565.1291,637959145457865185,637959145463516476,"gold"
"P14","s","1",22,"m","e",420.0953,637959145474198881,637959145478399834,"gray"
"P14","s","1",22,"m","e",448.1017,637959145516865124,637959145521346141,"gray"
"P14","s","1",22,"m","e",301.0696,637959145548542291,637959145551552987,"gray"
"P14","s","1",22,"m","e",148.035,637959145582609993,637959145584090343,"gray"
"P14","s","1",22,"m","e",715.1625,637959145612476753,637959145619628378,"gray"
"P14","s","1",22,"m","e",1998.4532,637959145635631992,637959145655616524,"blue"
"P14","s","1",22,"m","e",205.0475,637959145691994751,637959145694045226,"red"
"P14","s","1",22,"m","e",204.8822,637959145894357764,637959145896406586,"gray"
"P14","s","1",22,"m","e",572.1298,637959145934440203,637959145940161501,"gray"
"P14","s","1",22,"m","e",671.1518,637959145978540180,637959145985251698,"blue"
"P14","s","1",22,"m","e",402.0915,637959146016778823,637959146020799738,"red"
"P14","s","1",22,"m","e",240.0545,637959146031062058,637959146033462603,"red"
"P14","s","1",22,"m","e",82.0176,637959146127813950,637959146128634126,"red"
"P14","s","1",22,"m","e",1171.2662,637959146160331303,637959146172043965,"gray"
"P14","s","1",22,"m","e",1380.3117,637959146346788363,637959146360591480,"gray"
"P14","s","1",22,"m","e",282.0653,637959146373264347,637959146376085000,"red"
"P14","s","1",22,"m","e",679.1546,637959146413573470,637959146420365016,"gray"
"P14","s","1",22,"m","e",621.1405,637959146465275168,637959146471486573,"gray"
"P14","s","1",22,"m","e",723.1644,637959146502463579,637959146509695223,"gray"
"P14","s","1",22,"m","e",395.0893,637959146516406735,637959146520357628,"red"
"P14","s","1",22,"m","e",382.0861,637959146562737222,637959146566558083,"red"
"P14","s","1",22,"m","e",585.1336,637959146600025648,637959146605876984,"gray"
"P14","s","1",22,"m","e",1046.2368,637959146700701334,637959146711163702,"blue"
"P14","s","1",22,"m","e",500.1131,637959146739484167,637959146744485298,"blue"
"P14","s","1",22,"m","e",428.0978,637959146788086742,637959146792367720,"red"
"P14","s","1",22,"m","e",498.1143,637959146821081280,637959146826062423,"red"
"P14","s","1",22,"m","e",194.0442,637959146888756589,637959146890697031,"red"
"P14","s","1",22,"m","e",387.0886,637959146945789503,637959146949660389,"red"
"P14","s","1",22,"m","e",244.0551,637959147000381844,637959147002822395,"red"
"P14","s","1",22,"m","e",335.0773,637959147024867384,637959147028218157,"red"
"P14","s","2",22,"m","e",415.0948,637959147690814121,637959147694965069,"red"
"P14","s","2",22,"m","e",372.0847,637959147745666532,637959147749387379,"red"
"P14","s","2",22,"m","e",270.0614,637959147773682870,637959147776383484,"gray"
"P14","s","2",22,"m","e",371.0841,637959147801209103,637959147804919944,"gray"
"P14","s","2",22,"m","e",128.0292,637959147831405933,637959147832686225,"gray"
"P14","s","2",22,"m","e",1567.3547,637959147854221092,637959147869894639,"gray"
"P14","s","2",22,"m","e",215.0488,637959147895940536,637959147898091024,"gray"
"P14","s","2",22,"m","e",266.0605,637959147926987550,637959147929648155,"gray"
"P14","s","2",22,"m","e",393.1559,637959147968141942,637959147972073501,"red"
"P14","s","2",22,"m","e",577.1312,637959148129400574,637959148135171886,"red"
"P14","s","2",22,"m","e",1021.2322,637959148171170020,637959148181382342,"red"
"P14","s","2",22,"m","e",233.0525,637959148220971288,637959148223301813,"red"
"P14","s","2",22,"m","e",289.0661,637959148247617315,637959148250507976,"red"
"P14","s","2",22,"m","e",531.1202,637959148314503375,637959148319814577,"red"
"P14","s","2",22,"m","e",326.5606,637959148365004815,637959148368270421,"gray"
"P14","s","2",22,"m","e",333.0749,637959148396334179,637959148399664928,"gold"
"P14","s","2",22,"m","e",355.4271,637959148428161378,637959148431715649,"red"
"P14","s","2",22,"m","e",367.0828,637959148490063544,637959148493734372,"gray"
"P14","s","2",22,"m","e",781.1756,637959148512838705,637959148520650461,"gray"
"P14","s","2",22,"m","e",1059.2407,637959148546256241,637959148556848648,"gray"
"P14","s","2",22,"m","e",216.0487,637959148586755410,637959148588915897,"gray"
"P14","s","2",22,"m","e",345.0776,637959148620633084,637959148624083860,"gray"
"P14","s","2",22,"m","e",481.1094,637959148647649184,637959148652460278,"gray"
"P14","s","2",22,"m","e",366.0819,637959148679996509,637959148683657328,"gray"
"P14","s","2",22,"m","e",342.0777,637959148773637685,637959148777058462,"red"
"P14","s","2",22,"m","e",78.018,637959148874305341,637959148875085521,"red"
