"Participant","Condition","Trial","Age","Gender","Group","MovementTime","PlaceStart","PlaceEnd","Color"
"P14","s","1",22,"m","e",1493.997,637959145489572363,637959145504512333,"gray"
"P14","s","1",22,"m","e",698.1575,637959145527207466,637959145534189041,"gray"
"P14","s","1",22,"m","e",921.2081,637959145556844176,637959145566056257,"gray"
"P14","s","1",22,"m","e",594.136,637959145591151931,637959145597093291,"gray"
"P14","s","1",22,"m","e",481.1107,637959145662007956,637959145666819063,"blue"
"P14","s","1",22,"m","e",510.1172,637959145902126568,637959145907227740,"gray"
"P14","s","1",22,"m","e",1293.2937,637959145949933703,637959145962866640,"gray"
"P14","s","1",22,"m","e",641.1451,637959146039623991,637959146046035442,"red"
"P14","s","1",22,"m","e",960.2172,637959146177895276,637959146187497448,"gray"
"P14","s","1",22,"m","e",717.1626,637959146222325325,637959146229496951,"blue"
"P14","s","1",22,"m","e",218.0495,637959146249715371,637959146251895866,"gray"
"P14","s","1",22,"m","e",130.0293,637959146304344034,637959146305644327,"blue"
"P14","s","1",22,"m","e",326.5664,637959146330729804,637959146333995468,"blue"
"P14","s","1",22,"m","e",327.0757,637959146381976321,637959146385247078,"red"
"P14","s","1",22,"m","e",638.1456,637959146425126085,637959146431507541,"gray"
"P14","s","1",22,"m","e",720.1646,637959146440899650,637959146448101296,"gray"
"P14","s","1",22,"m","e",319.074,637959146479918485,637959146483109225,"gray"
"P14","s","1",22,"m","e",432.098,637959146534020716,637959146538341696,"red"
"P14","s","1",22,"m","e",619.1397,637959146575540116,637959146581731513,"red"
"P14","s","1",22,"m","e",677.1529,637959146613988809,637959146620760338,"gray"
"P14","s","1",22,"m","e",947.0344,637959146669055982,637959146678526326,"blue"
"P14","s","1",22,"m","e",1107.0525,637959146752225669,637959146763296194,"blue"
"P14","s","1",22,"m","e",260.0689,637959146801230983,637959146803831672,"red"
"P14","s","1",22,"m","e",432.0991,637959146955121608,637959146959442599,"red"
"P14","s","1",22,"m","e",330.0749,637959147007543464,637959147010844213,"red"
"P14","s","1",22,"m","e",339.0789,637959147035689830,637959147039080619,"red"
"P14","s","2",22,"m","e",627.1414,637959147642053094,637959147648324508,"blue"
"P14","s","2",22,"m","e",326.0744,637959147670589548,637959147673850292,"blue"
"P14","s","2",22,"m","e",348.0792,637959147700596339,637959147704077131,"red"
"P14","s","2",22,"m","e",383.0867,637959147724791809,637959147728622676,"blue"
"P14","s","2",22,"m","e",570.1285,637959147754108455,637959147759809740,"red"
"P14","s","2",22,"m","e",426.0971,637959147781544656,637959147785805627,"gray"
"P14","s","2",22,"m","e",548.1245,637959147811101336,637959147816582581,"gray"
"P14","s","2",22,"m","e",427.0966,637959147839797829,637959147844068795,"gray"
"P14","s","2",22,"m","e",732.1665,637959147874505680,637959147881827345,"gray"
"P14","s","2",22,"m","e",1264.287,637959147902942112,637959147915584982,"gray"
"P14","s","2",22,"m","e",385.087,637959147934579278,637959147938430148,"gray"
"P14","s","2",22,"m","e",0,637959148156616728,637959148156616728,"red"
"P14","s","2",22,"m","e",590.1335,637959148185633298,637959148191534633,"red"
"P14","s","2",22,"m","e",373.0852,637959148207738296,637959148211469148,"blue"
"P14","s","2",22,"m","e",622.1418,637959148227572784,637959148233794202,"red"
"P14","s","2",22,"m","e",207.0475,637959148257149476,637959148259219951,"red"
"P14","s","2",22,"m","e",706.1597,637959148292988515,637959148300050112,"blue"
"P14","s","2",22,"m","e",520.1175,637959148324325602,637959148329526777,"red"
"P14","s","2",22,"m","e",863.1952,637959148374761882,637959148383393834,"gray"
"P14","s","2",22,"m","e",450.1012,637959148405886341,637959148410387353,"gold"
"P14","s","2",22,"m","e",334.8692,637959148468398205,637959148471746897,"blue"
"P14","s","2",22,"m","e",777.1761,637959148498465434,637959148506237195,"gray"
"P14","s","2",22,"m","e",848.1914,637959148524731381,637959148533213295,"gray"
"P14","s","2",22,"m","e",541.1211,637959148563770219,637959148569181430,"gray"
"P14","s","2",22,"m","e",615.1384,637959148595377364,637959148601528748,"gray"
"P14","s","2",22,"m","e",627.1416,637959148630075211,637959148636346627,"gray"
"P14","s","2",22,"m","e",1124.2537,637959148657841494,637959148669084031,"gray"
"P14","s","2",22,"m","e",922.2113,637959148689038546,637959148698260659,"gray"
"P14","s","2",22,"m","e",959.2162,637959148743810945,637959148753403107,"blue"
"P14","s","2",22,"m","e",689.1561,637959148781899563,637959148788791124,"red"
"P14","s","2",22,"m","e",496.6186,637959148813276653,637959148818242839,"blue"
"P14","s","2",22,"m","e",296.067,637959148851800278,637959148854760948,"blue"
"P14","s","2",22,"m","e",550.0028,637959148914947380,637959148920447408,"red"
"P14","s","2",22,"m","e",1876.5993,637959148923610934,637959148942376927,"red"
"P14","s","2",22,"m","e",864.1961,637959148965152072,637959148973794033,"red"
