"Participant","Condition","Trial","Group","startTime","endTime","Duration_Time","hand_avgVel","hand_peak_vel","hand_avg_accel","hand_peak_accel","hand_time2PeakVel","hand_time2PeakAccel","handRot_avgVel","handRot_peak_vel","handRot_avg_accel","handRot_peak_accel","handRot_time2PeakVel","handRot_time2PeakAccel","headRot_avgVel","headRot_peak_vel","headRot_avg_accel","headRot_peak_accel","headRot_time2PeakVel","headRot_time2PeakAccel","gaze_avgVel","gaze_peak_vel","gaze_avg_accel","gaze_peak_accel","gaze_time2PeakVel","gaze_time2PeakAccel"
"nuP13","comp",1,"Aut",638336714044863036,638336714057536467,1267.3431,0.336711258739483,0.821613284055955,1.8025204727415,3.49796229059685,4961337,3322492,90.307236720107,295.60192291907,518.853729729648,1466.57684472495,4961337,5811862,76.1501770021163,276.566155092343,478.975410057922,1388.94888595797,4732506,5691862,50.5869031306339,159.505899450591,486.302342634233,1259.47107276487,7779404,2250777
"nuP13","comp",1,"Aut",638336714082975307,638336714094306906,1133.1599,0.395620866887664,0.821872313878907,1.94237312891775,3.6069820372033,6061606,6261604,113.606005530359,333.398732195808,679.418029819149,1686.45005204725,4921976,6261604,92.1104111856246,278.998039674307,538.101804275582,1252.38698738819,4824137,6321615,78.3075874050619,231.845798961819,1197.36803279326,2506.4409034922,5831629,2552085
"nuP13","comp",1,"Aut",638336714118455517,638336714127870540,941.5023,0.464200065523326,0.819019595210263,2.16566827696488,3.60800352915087,4490836,8915029,101.490866351468,236.221622338757,518.057241101918,1144.88269174035,4140853,5460831,94.0785976108569,231.58026901806,508.355399570288,1143.01995014184,3920835,2300852,81.9348049315857,317.027951383155,1095.09220417636,3201.94075698742,5130827,4370835
"nuP13","comp",1,"Aut",638336714162695500,638336714176907448,1421.1948,0.298280842347657,0.806432346391752,1.83105174493122,6.59081331437384,6035978,1578854,48.9388367035794,181.437690970579,309.408503889798,1172.51887457554,6035978,1578854,43.4546166932352,162.865825498521,268.60996841751,1061.2437360551,6035978,1578854,87.2039879040592,338.783379966618,894.038296311817,2989.17405921822,7241971,7341960
"nuP13","comp",1,"Aut",638336714210950683,638336714227450638,1649.9955,0.239183580828892,0.768069357504214,1.30644048100058,2.86679276146943,4659979,2869992,47.4557940407799,174.80891680773,227.368235449849,875.118545029267,4759986,2980001,47.5655683384324,180.189719533712,231.719721389507,996.092052161105,4659979,2980001,66.3018426529405,307.294634482107,573.206250986969,2402.53193378651,6499980,6630004
"nuP13","comp",1,"Aut",638336714341211231,638336714350910411,969.918,0.453279923860581,0.849021610691506,2.29499912671909,4.44130985833083,4278939,1785485,96.6517267484746,199.793450296973,493.859303536916,1066.0594503333,4578945,2013168,87.5971912553176,215.359714323644,446.948184007274,1016.67983729894,4578945,2433189,71.339770274146,202.133230065974,909.375994609595,2047.04392243065,6972521,4262280
"nuP13","comp",1,"Aut",638336714368166918,638336714378335217,1016.8299,0.269148486813062,0.653487208008043,1.36403376387372,2.84043817530202,4278303,5028316,59.0434003962875,192.790591890318,378.802483410903,1154.97487935988,4088309,4688299,55.2276710463878,180.657824822777,363.316246215215,1099.31503445957,3992550,4688299,56.2110429500388,150.602034118526,636.873919037512,1404.58291639771,5228292,4148298
"nuP13","comp",1,"Aut",638336714394055024,638336714407685939,1363.0915,0.233481800440739,0.677775645338812,1.28373107047882,2.96438545742434,4139983,6809973,56.2614940966703,211.962409899518,356.24099877783,990.273670720296,4559976,5459997,50.1528818770732,202.154030671334,322.304783368875,1068.09897512239,4559976,3359987,45.1913122269641,132.393509302721,510.285194092776,1296.22204471335,5869994,4879980
"nuP13","comp",1,"Aut",638336714430240944,638336714443741591,1350.0647,0.381671904620117,0.880283128835784,1.7012074947949,3.3608223946638,6319961,2489969,77.7172508475893,218.725544771141,357.326315195811,1145.02521991146,5369977,6815135,74.1940503771892,225.36718284384,345.887969126033,1073.41451717063,5139964,3139962,52.0031039447443,285.15087767489,616.024369871242,2637.5104005347,8770642,8180646
"nuP13","comp",1,"Aut",638336714459222554,638336714474872052,1564.9498,0.293869960581864,0.76499430895113,1.39408447215089,3.20051334501573,5419993,7809985,79.0448896152343,271.876748022718,390.356558230783,1236.97848527663,5519985,2619994,70.5105776114266,255.96795472893,340.317928523554,1101.60195260238,5419993,2929986,90.802749350954,385.532610640184,1317.45572571729,3401.2583603505,7139965,2489973
"nuP13","comp",1,"Aut",638336714544873032,638336714553743023,886.9991,0.337722542270101,0.618526226496389,1.90138091153587,3.04680931835455,3949991,1269997,105.403964427567,250.239483625822,604.719101884318,1313.84093480755,4059999,1969990,86.4485524370375,227.218142752102,515.812711457998,1268.47093285396,4159981,2379985,48.5571707009992,160.22357336508,442.745875972207,1544.11091465904,5349973,4459990
