"Participant","Condition","Trial","Group","PACtype","PACtime","PACstartTime","PACendTime","Event","cubeColor"
"sd12","solo",1,"e","grab",579.3928,638265793715451846,638265793721245774,"Regular Blue CubeClone194 was picked up","Blue"
"sd12","solo",1,"e","grab",248.951,638265793725689459,638265793728178969,"Regular Blue CubeClone193 was picked up","Blue"
"sd12","solo",1,"e","grab",355.9415,638265793743538525,638265793747097940,"Regular Blue CubeClone196 was picked up","Blue"
"sd12","solo",1,"e","grab",274.8725,638265793767934183,638265793770682908,"Regular Blue CubeClone200 was picked up","Blue"
"sd12","solo",1,"e","grab",194.8656,638265793799559366,638265793801508022,"Regular Blue CubeClone201 was picked up","Blue"
"sd12","solo",1,"e","grab",404.7214,638265793826073055,638265793830120269,"Regular Red CubeClone206 was picked up","Red"
"sd12","solo",1,"e","grab",409.0749,638265793851418456,638265793855509205,"Regular Blue CubeClone211 was picked up","Blue"
"sd12","solo",1,"e","grab",121.8434,638265793877885567,638265793879104001,"Regular Red CubeClone212 was picked up","Red"
"sd12","solo",1,"e","grab",787.0574,638265793894460845,638265793902331419,"Regular Red CubeClone218 was picked up","Red"
"sd12","solo",1,"e","grab",509.5627,638265793916848759,638265793921944386,"Regular Gold CubeClone102 was picked up","Gold"
"sd12","solo",1,"e","grab",509.5627,638265793916848759,638265793921944386,"Regular Gold CubeClone102 was picked up","Gold"
"sd12","solo",1,"e","grab",377.3463,638265793962676018,638265793966449481,"Regular Blue CubeClone223 was picked up","Blue"
"sd12","solo",1,"e","grab",298.7636,638265793988958867,638265793991946503,"Regular Red CubeClone230 was picked up","Red"
"sd12","solo",1,"e","grab",249.4817,638265794011163900,638265794013658717,"Regular Blue CubeClone232 was picked up","Blue"
"sd12","solo",1,"e","grab",463.6322,638265794031253115,638265794035889437,"Regular Red CubeClone235 was picked up","Red"
"sd12","solo",1,"e","grab",72.8054,638265794045573803,638265794046301857,"Regular Blue CubeClone234 was picked up","Blue"
"sd12","solo",1,"e","grab",176.9446,638265794071462074,638265794073231520,"Regular Blue CubeClone241 was picked up","Blue"
"sd12","solo",1,"e","grab",287.5024,638265794081721394,638265794084596418,"Regular Neutral CubeClone244 was picked up","White"
"sd12","solo",1,"e","grab",236.3672,638265794108126567,638265794110490239,"Regular Neutral CubeClone247 was picked up","White"
"sd12","solo",1,"e","grab",241.1108,638265794135916378,638265794138327486,"Regular Gold CubeClone226 was picked up","Gold"
"sd12","solo",1,"e","grab",241.1108,638265794135916378,638265794138327486,"Regular Gold CubeClone226 was picked up","Gold"
"sd12","solo",1,"e","grab",868.2605,638265794155223799,638265794163906404,"Regular Blue CubeClone250 was picked up","Blue"
"sd12","solo",1,"e","grab",267.0321,638265794199159656,638265794201829977,"Regular Red CubeClone258 was picked up","Red"
"sd12","solo",1,"e","grab",474.1406,638265794214588409,638265794219329815,"Regular Neutral CubeClone263 was picked up","White"
"sd12","solo",1,"e","grab",331.2614,638265794353386490,638265794356699104,"Regular Red CubeClone278 was picked up","Red"
"sd12","solo",1,"e","grab",107.712,638265794381212664,638265794382289784,"Regular Gold CubeClone256 was picked up","Gold"
